"AGE","TIME","UNIT","SEX","GEO","Value","Flag and Footnotes"
"From 10 to 14 years","2007W27","Number","Total","Belgium","3",""
"From 10 to 14 years","2007W28","Number","Total","Belgium","0",""
"From 10 to 14 years","2007W29","Number","Total","Belgium","1",""
"From 10 to 14 years","2007W30","Number","Total","Belgium","0",""
"From 10 to 14 years","2007W31","Number","Total","Belgium","2",""
"From 10 to 14 years","2007W32","Number","Total","Belgium","2",""
"From 10 to 14 years","2007W33","Number","Total","Belgium","0",""
"From 10 to 14 years","2007W34","Number","Total","Belgium","1",""
"From 10 to 14 years","2007W35","Number","Total","Belgium","0",""
"From 10 to 14 years","2007W36","Number","Total","Belgium","2",""
"From 10 to 14 years","2007W37","Number","Total","Belgium","1",""
"From 10 to 14 years","2007W38","Number","Total","Belgium","2",""
"From 10 to 14 years","2007W39","Number","Total","Belgium","1",""
"From 10 to 14 years","2007W40","Number","Total","Belgium","1",""
"From 10 to 14 years","2007W41","Number","Total","Belgium","4",""
"From 10 to 14 years","2007W42","Number","Total","Belgium","0",""
"From 10 to 14 years","2007W43","Number","Total","Belgium","1",""
"From 10 to 14 years","2007W44","Number","Total","Belgium","0",""
"From 10 to 14 years","2007W45","Number","Total","Belgium","0",""
"From 10 to 14 years","2007W46","Number","Total","Belgium","2",""
"From 10 to 14 years","2007W47","Number","Total","Belgium","2",""
"From 10 to 14 years","2007W48","Number","Total","Belgium","3",""
"From 10 to 14 years","2007W49","Number","Total","Belgium","2",""
"From 10 to 14 years","2007W50","Number","Total","Belgium","0",""
"From 10 to 14 years","2007W51","Number","Total","Belgium","3",""
"From 10 to 14 years","2007W52","Number","Total","Belgium","6",""
"From 10 to 14 years","2007W99","Number","Total","Belgium",":",""
"From 10 to 14 years","2008W01","Number","Total","Belgium","3",""
"From 10 to 14 years","2008W02","Number","Total","Belgium","0",""
"From 10 to 14 years","2008W03","Number","Total","Belgium","2",""
"From 10 to 14 years","2008W04","Number","Total","Belgium","0",""
"From 10 to 14 years","2008W05","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W06","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W07","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W08","Number","Total","Belgium","0",""
"From 10 to 14 years","2008W09","Number","Total","Belgium","0",""
"From 10 to 14 years","2008W10","Number","Total","Belgium","3",""
"From 10 to 14 years","2008W11","Number","Total","Belgium","2",""
"From 10 to 14 years","2008W12","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W13","Number","Total","Belgium","2",""
"From 10 to 14 years","2008W14","Number","Total","Belgium","0",""
"From 10 to 14 years","2008W15","Number","Total","Belgium","2",""
"From 10 to 14 years","2008W16","Number","Total","Belgium","2",""
"From 10 to 14 years","2008W17","Number","Total","Belgium","2",""
"From 10 to 14 years","2008W18","Number","Total","Belgium","2",""
"From 10 to 14 years","2008W19","Number","Total","Belgium","2",""
"From 10 to 14 years","2008W20","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W21","Number","Total","Belgium","2",""
"From 10 to 14 years","2008W22","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W23","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W24","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W25","Number","Total","Belgium","0",""
"From 10 to 14 years","2008W26","Number","Total","Belgium","3",""
"From 10 to 14 years","2008W27","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W28","Number","Total","Belgium","2",""
"From 10 to 14 years","2008W29","Number","Total","Belgium","0",""
"From 10 to 14 years","2008W30","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W31","Number","Total","Belgium","3",""
"From 10 to 14 years","2008W32","Number","Total","Belgium","0",""
"From 10 to 14 years","2008W33","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W34","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W35","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W36","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W37","Number","Total","Belgium","3",""
"From 10 to 14 years","2008W38","Number","Total","Belgium","0",""
"From 10 to 14 years","2008W39","Number","Total","Belgium","0",""
"From 10 to 14 years","2008W40","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W41","Number","Total","Belgium","2",""
"From 10 to 14 years","2008W42","Number","Total","Belgium","3",""
"From 10 to 14 years","2008W43","Number","Total","Belgium","0",""
"From 10 to 14 years","2008W44","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W45","Number","Total","Belgium","0",""
"From 10 to 14 years","2008W46","Number","Total","Belgium","0",""
"From 10 to 14 years","2008W47","Number","Total","Belgium","0",""
"From 10 to 14 years","2008W48","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W49","Number","Total","Belgium","3",""
"From 10 to 14 years","2008W50","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W51","Number","Total","Belgium","2",""
"From 10 to 14 years","2008W52","Number","Total","Belgium","1",""
"From 10 to 14 years","2008W99","Number","Total","Belgium",":",""
"From 10 to 14 years","2009W01","Number","Total","Belgium","4",""
"From 10 to 14 years","2009W02","Number","Total","Belgium","2",""
"From 10 to 14 years","2009W03","Number","Total","Belgium","3",""
"From 10 to 14 years","2009W04","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W05","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W06","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W07","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W08","Number","Total","Belgium","2",""
"From 10 to 14 years","2009W09","Number","Total","Belgium","2",""
"From 10 to 14 years","2009W10","Number","Total","Belgium","2",""
"From 10 to 14 years","2009W11","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W12","Number","Total","Belgium","0",""
"From 10 to 14 years","2009W13","Number","Total","Belgium","0",""
"From 10 to 14 years","2009W14","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W15","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W16","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W17","Number","Total","Belgium","2",""
"From 10 to 14 years","2009W18","Number","Total","Belgium","3",""
"From 10 to 14 years","2009W19","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W20","Number","Total","Belgium","3",""
"From 10 to 14 years","2009W21","Number","Total","Belgium","2",""
"From 10 to 14 years","2009W22","Number","Total","Belgium","0",""
"From 10 to 14 years","2009W23","Number","Total","Belgium","2",""
"From 10 to 14 years","2009W24","Number","Total","Belgium","0",""
"From 10 to 14 years","2009W25","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W26","Number","Total","Belgium","0",""
"From 10 to 14 years","2009W27","Number","Total","Belgium","0",""
"From 10 to 14 years","2009W28","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W29","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W30","Number","Total","Belgium","0",""
"From 10 to 14 years","2009W31","Number","Total","Belgium","0",""
"From 10 to 14 years","2009W32","Number","Total","Belgium","2",""
"From 10 to 14 years","2009W33","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W34","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W35","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W36","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W37","Number","Total","Belgium","2",""
"From 10 to 14 years","2009W38","Number","Total","Belgium","2",""
"From 10 to 14 years","2009W39","Number","Total","Belgium","0",""
"From 10 to 14 years","2009W40","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W41","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W42","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W43","Number","Total","Belgium","2",""
"From 10 to 14 years","2009W44","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W45","Number","Total","Belgium","3",""
"From 10 to 14 years","2009W46","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W47","Number","Total","Belgium","3",""
"From 10 to 14 years","2009W48","Number","Total","Belgium","2",""
"From 10 to 14 years","2009W49","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W50","Number","Total","Belgium","2",""
"From 10 to 14 years","2009W51","Number","Total","Belgium","1",""
"From 10 to 14 years","2009W52","Number","Total","Belgium","2",""
"From 10 to 14 years","2009W53","Number","Total","Belgium","0",""
"From 10 to 14 years","2009W99","Number","Total","Belgium",":",""
"From 10 to 14 years","2010W01","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W02","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W03","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W04","Number","Total","Belgium","0",""
"From 10 to 14 years","2010W05","Number","Total","Belgium","3",""
"From 10 to 14 years","2010W06","Number","Total","Belgium","2",""
"From 10 to 14 years","2010W07","Number","Total","Belgium","0",""
"From 10 to 14 years","2010W08","Number","Total","Belgium","2",""
"From 10 to 14 years","2010W09","Number","Total","Belgium","0",""
"From 10 to 14 years","2010W10","Number","Total","Belgium","2",""
"From 10 to 14 years","2010W11","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W12","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W13","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W14","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W15","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W16","Number","Total","Belgium","0",""
"From 10 to 14 years","2010W17","Number","Total","Belgium","2",""
"From 10 to 14 years","2010W18","Number","Total","Belgium","2",""
"From 10 to 14 years","2010W19","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W20","Number","Total","Belgium","0",""
"From 10 to 14 years","2010W21","Number","Total","Belgium","0",""
"From 10 to 14 years","2010W22","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W23","Number","Total","Belgium","2",""
"From 10 to 14 years","2010W24","Number","Total","Belgium","2",""
"From 10 to 14 years","2010W25","Number","Total","Belgium","3",""
"From 10 to 14 years","2010W26","Number","Total","Belgium","2",""
"From 10 to 14 years","2010W27","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W28","Number","Total","Belgium","0",""
"From 10 to 14 years","2010W29","Number","Total","Belgium","2",""
"From 10 to 14 years","2010W30","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W31","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W32","Number","Total","Belgium","3",""
"From 10 to 14 years","2010W33","Number","Total","Belgium","2",""
"From 10 to 14 years","2010W34","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W35","Number","Total","Belgium","0",""
"From 10 to 14 years","2010W36","Number","Total","Belgium","3",""
"From 10 to 14 years","2010W37","Number","Total","Belgium","0",""
"From 10 to 14 years","2010W38","Number","Total","Belgium","4",""
"From 10 to 14 years","2010W39","Number","Total","Belgium","2",""
"From 10 to 14 years","2010W40","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W41","Number","Total","Belgium","3",""
"From 10 to 14 years","2010W42","Number","Total","Belgium","0",""
"From 10 to 14 years","2010W43","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W44","Number","Total","Belgium","2",""
"From 10 to 14 years","2010W45","Number","Total","Belgium","3",""
"From 10 to 14 years","2010W46","Number","Total","Belgium","0",""
"From 10 to 14 years","2010W47","Number","Total","Belgium","4",""
"From 10 to 14 years","2010W48","Number","Total","Belgium","0",""
"From 10 to 14 years","2010W49","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W50","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W51","Number","Total","Belgium","0",""
"From 10 to 14 years","2010W52","Number","Total","Belgium","1",""
"From 10 to 14 years","2010W99","Number","Total","Belgium",":",""
"From 10 to 14 years","2011W01","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W02","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W03","Number","Total","Belgium","0",""
"From 10 to 14 years","2011W04","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W05","Number","Total","Belgium","3",""
"From 10 to 14 years","2011W06","Number","Total","Belgium","0",""
"From 10 to 14 years","2011W07","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W08","Number","Total","Belgium","2",""
"From 10 to 14 years","2011W09","Number","Total","Belgium","0",""
"From 10 to 14 years","2011W10","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W11","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W12","Number","Total","Belgium","2",""
"From 10 to 14 years","2011W13","Number","Total","Belgium","0",""
"From 10 to 14 years","2011W14","Number","Total","Belgium","0",""
"From 10 to 14 years","2011W15","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W16","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W17","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W18","Number","Total","Belgium","2",""
"From 10 to 14 years","2011W19","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W20","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W21","Number","Total","Belgium","0",""
"From 10 to 14 years","2011W22","Number","Total","Belgium","3",""
"From 10 to 14 years","2011W23","Number","Total","Belgium","3",""
"From 10 to 14 years","2011W24","Number","Total","Belgium","2",""
"From 10 to 14 years","2011W25","Number","Total","Belgium","2",""
"From 10 to 14 years","2011W26","Number","Total","Belgium","2",""
"From 10 to 14 years","2011W27","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W28","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W29","Number","Total","Belgium","2",""
"From 10 to 14 years","2011W30","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W31","Number","Total","Belgium","0",""
"From 10 to 14 years","2011W32","Number","Total","Belgium","0",""
"From 10 to 14 years","2011W33","Number","Total","Belgium","0",""
"From 10 to 14 years","2011W34","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W35","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W36","Number","Total","Belgium","2",""
"From 10 to 14 years","2011W37","Number","Total","Belgium","0",""
"From 10 to 14 years","2011W38","Number","Total","Belgium","0",""
"From 10 to 14 years","2011W39","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W40","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W41","Number","Total","Belgium","2",""
"From 10 to 14 years","2011W42","Number","Total","Belgium","0",""
"From 10 to 14 years","2011W43","Number","Total","Belgium","2",""
"From 10 to 14 years","2011W44","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W45","Number","Total","Belgium","5",""
"From 10 to 14 years","2011W46","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W47","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W48","Number","Total","Belgium","3",""
"From 10 to 14 years","2011W49","Number","Total","Belgium","2",""
"From 10 to 14 years","2011W50","Number","Total","Belgium","1",""
"From 10 to 14 years","2011W51","Number","Total","Belgium","0",""
"From 10 to 14 years","2011W52","Number","Total","Belgium","3",""
"From 10 to 14 years","2011W99","Number","Total","Belgium",":",""
"From 10 to 14 years","2012W01","Number","Total","Belgium","1",""
"From 10 to 14 years","2012W02","Number","Total","Belgium","1",""
"From 10 to 14 years","2012W03","Number","Total","Belgium","2",""
"From 10 to 14 years","2012W04","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W05","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W06","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W07","Number","Total","Belgium","1",""
"From 10 to 14 years","2012W08","Number","Total","Belgium","1",""
"From 10 to 14 years","2012W09","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W10","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W11","Number","Total","Belgium","21",""
"From 10 to 14 years","2012W12","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W13","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W14","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W15","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W16","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W17","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W18","Number","Total","Belgium","3",""
"From 10 to 14 years","2012W19","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W20","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W21","Number","Total","Belgium","2",""
"From 10 to 14 years","2012W22","Number","Total","Belgium","2",""
"From 10 to 14 years","2012W23","Number","Total","Belgium","1",""
"From 10 to 14 years","2012W24","Number","Total","Belgium","2",""
"From 10 to 14 years","2012W25","Number","Total","Belgium","3",""
"From 10 to 14 years","2012W26","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W27","Number","Total","Belgium","1",""
"From 10 to 14 years","2012W28","Number","Total","Belgium","2",""
"From 10 to 14 years","2012W29","Number","Total","Belgium","1",""
"From 10 to 14 years","2012W30","Number","Total","Belgium","1",""
"From 10 to 14 years","2012W31","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W32","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W33","Number","Total","Belgium","1",""
"From 10 to 14 years","2012W34","Number","Total","Belgium","2",""
"From 10 to 14 years","2012W35","Number","Total","Belgium","2",""
"From 10 to 14 years","2012W36","Number","Total","Belgium","3",""
"From 10 to 14 years","2012W37","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W38","Number","Total","Belgium","2",""
"From 10 to 14 years","2012W39","Number","Total","Belgium","2",""
"From 10 to 14 years","2012W40","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W41","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W42","Number","Total","Belgium","1",""
"From 10 to 14 years","2012W43","Number","Total","Belgium","1",""
"From 10 to 14 years","2012W44","Number","Total","Belgium","0",""
"From 10 to 14 years","2012W45","Number","Total","Belgium","2",""
"From 10 to 14 years","2012W46","Number","Total","Belgium","2",""
"From 10 to 14 years","2012W47","Number","Total","Belgium","2",""
"From 10 to 14 years","2012W48","Number","Total","Belgium","2",""
"From 10 to 14 years","2012W49","Number","Total","Belgium","3",""
"From 10 to 14 years","2012W50","Number","Total","Belgium","1",""
"From 10 to 14 years","2012W51","Number","Total","Belgium","1",""
"From 10 to 14 years","2012W52","Number","Total","Belgium","1",""
"From 10 to 14 years","2012W99","Number","Total","Belgium",":",""
"From 10 to 14 years","2013W01","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W02","Number","Total","Belgium","3",""
"From 10 to 14 years","2013W03","Number","Total","Belgium","2",""
"From 10 to 14 years","2013W04","Number","Total","Belgium","2",""
"From 10 to 14 years","2013W05","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W06","Number","Total","Belgium","1",""
"From 10 to 14 years","2013W07","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W08","Number","Total","Belgium","2",""
"From 10 to 14 years","2013W09","Number","Total","Belgium","1",""
"From 10 to 14 years","2013W10","Number","Total","Belgium","1",""
"From 10 to 14 years","2013W11","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W12","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W13","Number","Total","Belgium","2",""
"From 10 to 14 years","2013W14","Number","Total","Belgium","1",""
"From 10 to 14 years","2013W15","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W16","Number","Total","Belgium","2",""
"From 10 to 14 years","2013W17","Number","Total","Belgium","1",""
"From 10 to 14 years","2013W18","Number","Total","Belgium","1",""
"From 10 to 14 years","2013W19","Number","Total","Belgium","2",""
"From 10 to 14 years","2013W20","Number","Total","Belgium","2",""
"From 10 to 14 years","2013W21","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W22","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W23","Number","Total","Belgium","1",""
"From 10 to 14 years","2013W24","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W25","Number","Total","Belgium","1",""
"From 10 to 14 years","2013W26","Number","Total","Belgium","3",""
"From 10 to 14 years","2013W27","Number","Total","Belgium","2",""
"From 10 to 14 years","2013W28","Number","Total","Belgium","2",""
"From 10 to 14 years","2013W29","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W30","Number","Total","Belgium","1",""
"From 10 to 14 years","2013W31","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W32","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W33","Number","Total","Belgium","2",""
"From 10 to 14 years","2013W34","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W35","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W36","Number","Total","Belgium","1",""
"From 10 to 14 years","2013W37","Number","Total","Belgium","1",""
"From 10 to 14 years","2013W38","Number","Total","Belgium","1",""
"From 10 to 14 years","2013W39","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W40","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W41","Number","Total","Belgium","1",""
"From 10 to 14 years","2013W42","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W43","Number","Total","Belgium","2",""
"From 10 to 14 years","2013W44","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W45","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W46","Number","Total","Belgium","1",""
"From 10 to 14 years","2013W47","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W48","Number","Total","Belgium","2",""
"From 10 to 14 years","2013W49","Number","Total","Belgium","3",""
"From 10 to 14 years","2013W50","Number","Total","Belgium","1",""
"From 10 to 14 years","2013W51","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W52","Number","Total","Belgium","0",""
"From 10 to 14 years","2013W99","Number","Total","Belgium",":",""
"From 10 to 14 years","2014W01","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W02","Number","Total","Belgium","2",""
"From 10 to 14 years","2014W03","Number","Total","Belgium","0",""
"From 10 to 14 years","2014W04","Number","Total","Belgium","2",""
"From 10 to 14 years","2014W05","Number","Total","Belgium","0",""
"From 10 to 14 years","2014W06","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W07","Number","Total","Belgium","2",""
"From 10 to 14 years","2014W08","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W09","Number","Total","Belgium","0",""
"From 10 to 14 years","2014W10","Number","Total","Belgium","3",""
"From 10 to 14 years","2014W11","Number","Total","Belgium","3",""
"From 10 to 14 years","2014W12","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W13","Number","Total","Belgium","0",""
"From 10 to 14 years","2014W14","Number","Total","Belgium","0",""
"From 10 to 14 years","2014W15","Number","Total","Belgium","3",""
"From 10 to 14 years","2014W16","Number","Total","Belgium","0",""
"From 10 to 14 years","2014W17","Number","Total","Belgium","2",""
"From 10 to 14 years","2014W18","Number","Total","Belgium","0",""
"From 10 to 14 years","2014W19","Number","Total","Belgium","3",""
"From 10 to 14 years","2014W20","Number","Total","Belgium","0",""
"From 10 to 14 years","2014W21","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W22","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W23","Number","Total","Belgium","0",""
"From 10 to 14 years","2014W24","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W25","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W26","Number","Total","Belgium","0",""
"From 10 to 14 years","2014W27","Number","Total","Belgium","0",""
"From 10 to 14 years","2014W28","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W29","Number","Total","Belgium","2",""
"From 10 to 14 years","2014W30","Number","Total","Belgium","0",""
"From 10 to 14 years","2014W31","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W32","Number","Total","Belgium","0",""
"From 10 to 14 years","2014W33","Number","Total","Belgium","2",""
"From 10 to 14 years","2014W34","Number","Total","Belgium","2",""
"From 10 to 14 years","2014W35","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W36","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W37","Number","Total","Belgium","3",""
"From 10 to 14 years","2014W38","Number","Total","Belgium","2",""
"From 10 to 14 years","2014W39","Number","Total","Belgium","2",""
"From 10 to 14 years","2014W40","Number","Total","Belgium","3",""
"From 10 to 14 years","2014W41","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W42","Number","Total","Belgium","4",""
"From 10 to 14 years","2014W43","Number","Total","Belgium","2",""
"From 10 to 14 years","2014W44","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W45","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W46","Number","Total","Belgium","0",""
"From 10 to 14 years","2014W47","Number","Total","Belgium","2",""
"From 10 to 14 years","2014W48","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W49","Number","Total","Belgium","2",""
"From 10 to 14 years","2014W50","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W51","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W52","Number","Total","Belgium","1",""
"From 10 to 14 years","2014W99","Number","Total","Belgium",":",""
"From 10 to 14 years","2015W01","Number","Total","Belgium","2",""
"From 10 to 14 years","2015W02","Number","Total","Belgium","1",""
"From 10 to 14 years","2015W03","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W04","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W05","Number","Total","Belgium","2",""
"From 10 to 14 years","2015W06","Number","Total","Belgium","1",""
"From 10 to 14 years","2015W07","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W08","Number","Total","Belgium","1",""
"From 10 to 14 years","2015W09","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W10","Number","Total","Belgium","4",""
"From 10 to 14 years","2015W11","Number","Total","Belgium","3",""
"From 10 to 14 years","2015W12","Number","Total","Belgium","2",""
"From 10 to 14 years","2015W13","Number","Total","Belgium","2",""
"From 10 to 14 years","2015W14","Number","Total","Belgium","1",""
"From 10 to 14 years","2015W15","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W16","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W17","Number","Total","Belgium","2",""
"From 10 to 14 years","2015W18","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W19","Number","Total","Belgium","2",""
"From 10 to 14 years","2015W20","Number","Total","Belgium","2",""
"From 10 to 14 years","2015W21","Number","Total","Belgium","1",""
"From 10 to 14 years","2015W22","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W23","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W24","Number","Total","Belgium","2",""
"From 10 to 14 years","2015W25","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W26","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W27","Number","Total","Belgium","2",""
"From 10 to 14 years","2015W28","Number","Total","Belgium","1",""
"From 10 to 14 years","2015W29","Number","Total","Belgium","1",""
"From 10 to 14 years","2015W30","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W31","Number","Total","Belgium","1",""
"From 10 to 14 years","2015W32","Number","Total","Belgium","1",""
"From 10 to 14 years","2015W33","Number","Total","Belgium","2",""
"From 10 to 14 years","2015W34","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W35","Number","Total","Belgium","2",""
"From 10 to 14 years","2015W36","Number","Total","Belgium","1",""
"From 10 to 14 years","2015W37","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W38","Number","Total","Belgium","1",""
"From 10 to 14 years","2015W39","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W40","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W41","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W42","Number","Total","Belgium","1",""
"From 10 to 14 years","2015W43","Number","Total","Belgium","1",""
"From 10 to 14 years","2015W44","Number","Total","Belgium","1",""
"From 10 to 14 years","2015W45","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W46","Number","Total","Belgium","0",""
"From 10 to 14 years","2015W47","Number","Total","Belgium","2",""
"From 10 to 14 years","2015W48","Number","Total","Belgium","1",""
"From 10 to 14 years","2015W49","Number","Total","Belgium","2",""
"From 10 to 14 years","2015W50","Number","Total","Belgium","4",""
"From 10 to 14 years","2015W51","Number","Total","Belgium","3",""
