"AGE","TIME","UNIT","SEX","GEO","Value","Flag and Footnotes"
"Less than 5 years","2002W04","Number","Total","Belgium","16",""
"Less than 5 years","2002W05","Number","Total","Belgium","13",""
"Less than 5 years","2002W06","Number","Total","Belgium","9",""
"Less than 5 years","2002W07","Number","Total","Belgium","8",""
"Less than 5 years","2002W08","Number","Total","Belgium","15",""
"Less than 5 years","2002W09","Number","Total","Belgium","18",""
"Less than 5 years","2002W10","Number","Total","Belgium","14",""
"Less than 5 years","2002W11","Number","Total","Belgium","14",""
"Less than 5 years","2002W12","Number","Total","Belgium","6",""
"Less than 5 years","2002W13","Number","Total","Belgium","12",""
"Less than 5 years","2002W14","Number","Total","Belgium","9",""
"Less than 5 years","2002W15","Number","Total","Belgium","10",""
"Less than 5 years","2002W16","Number","Total","Belgium","18",""
"Less than 5 years","2002W17","Number","Total","Belgium","14",""
"Less than 5 years","2002W18","Number","Total","Belgium","5",""
"Less than 5 years","2002W19","Number","Total","Belgium","11",""
"Less than 5 years","2002W20","Number","Total","Belgium","11",""
"Less than 5 years","2002W21","Number","Total","Belgium","13",""
"Less than 5 years","2002W22","Number","Total","Belgium","10",""
"Less than 5 years","2002W23","Number","Total","Belgium","14",""
"Less than 5 years","2002W24","Number","Total","Belgium","16",""
"Less than 5 years","2002W25","Number","Total","Belgium","10",""
"Less than 5 years","2002W26","Number","Total","Belgium","8",""
"Less than 5 years","2002W27","Number","Total","Belgium","10",""
"Less than 5 years","2002W28","Number","Total","Belgium","4",""
"Less than 5 years","2002W29","Number","Total","Belgium","8",""
"Less than 5 years","2002W30","Number","Total","Belgium","10",""
"Less than 5 years","2002W31","Number","Total","Belgium","9",""
"Less than 5 years","2002W32","Number","Total","Belgium","12",""
"Less than 5 years","2002W33","Number","Total","Belgium","14",""
"Less than 5 years","2002W34","Number","Total","Belgium","10",""
"Less than 5 years","2002W35","Number","Total","Belgium","17",""
"Less than 5 years","2002W36","Number","Total","Belgium","14",""
"Less than 5 years","2002W37","Number","Total","Belgium","12",""
"Less than 5 years","2002W38","Number","Total","Belgium","15",""
"Less than 5 years","2002W39","Number","Total","Belgium","6",""
"Less than 5 years","2002W40","Number","Total","Belgium","9",""
"Less than 5 years","2002W41","Number","Total","Belgium","9",""
"Less than 5 years","2002W42","Number","Total","Belgium","6",""
"Less than 5 years","2002W43","Number","Total","Belgium","18",""
"Less than 5 years","2002W44","Number","Total","Belgium","18",""
"Less than 5 years","2002W45","Number","Total","Belgium","15",""
"Less than 5 years","2002W46","Number","Total","Belgium","17",""
"Less than 5 years","2002W47","Number","Total","Belgium","16",""
"Less than 5 years","2002W48","Number","Total","Belgium","10",""
"Less than 5 years","2002W49","Number","Total","Belgium","18",""
"Less than 5 years","2002W50","Number","Total","Belgium","10",""
"Less than 5 years","2002W51","Number","Total","Belgium","12",""
"Less than 5 years","2002W52","Number","Total","Belgium","13",""
"Less than 5 years","2002W99","Number","Total","Belgium",":",""
"Less than 5 years","2003W01","Number","Total","Belgium","17",""
"Less than 5 years","2003W02","Number","Total","Belgium","12",""
"Less than 5 years","2003W03","Number","Total","Belgium","9",""
"Less than 5 years","2003W04","Number","Total","Belgium","11",""
"Less than 5 years","2003W05","Number","Total","Belgium","11",""
"Less than 5 years","2003W06","Number","Total","Belgium","9",""
"Less than 5 years","2003W07","Number","Total","Belgium","12",""
"Less than 5 years","2003W08","Number","Total","Belgium","17",""
"Less than 5 years","2003W09","Number","Total","Belgium","13",""
"Less than 5 years","2003W10","Number","Total","Belgium","18",""
"Less than 5 years","2003W11","Number","Total","Belgium","7",""
"Less than 5 years","2003W12","Number","Total","Belgium","12",""
"Less than 5 years","2003W13","Number","Total","Belgium","18",""
"Less than 5 years","2003W14","Number","Total","Belgium","9",""
"Less than 5 years","2003W15","Number","Total","Belgium","7",""
"Less than 5 years","2003W16","Number","Total","Belgium","8",""
"Less than 5 years","2003W17","Number","Total","Belgium","10",""
"Less than 5 years","2003W18","Number","Total","Belgium","9",""
"Less than 5 years","2003W19","Number","Total","Belgium","7",""
"Less than 5 years","2003W20","Number","Total","Belgium","13",""
"Less than 5 years","2003W21","Number","Total","Belgium","13",""
"Less than 5 years","2003W22","Number","Total","Belgium","25",""
"Less than 5 years","2003W23","Number","Total","Belgium","12",""
"Less than 5 years","2003W24","Number","Total","Belgium","12",""
"Less than 5 years","2003W25","Number","Total","Belgium","13",""
"Less than 5 years","2003W26","Number","Total","Belgium","9",""
"Less than 5 years","2003W27","Number","Total","Belgium","15",""
"Less than 5 years","2003W28","Number","Total","Belgium","13",""
"Less than 5 years","2003W29","Number","Total","Belgium","8",""
"Less than 5 years","2003W30","Number","Total","Belgium","11",""
"Less than 5 years","2003W31","Number","Total","Belgium","10",""
"Less than 5 years","2003W32","Number","Total","Belgium","6",""
"Less than 5 years","2003W33","Number","Total","Belgium","7",""
"Less than 5 years","2003W34","Number","Total","Belgium","14",""
"Less than 5 years","2003W35","Number","Total","Belgium","9",""
"Less than 5 years","2003W36","Number","Total","Belgium","4",""
"Less than 5 years","2003W37","Number","Total","Belgium","11",""
"Less than 5 years","2003W38","Number","Total","Belgium","16",""
"Less than 5 years","2003W39","Number","Total","Belgium","9",""
"Less than 5 years","2003W40","Number","Total","Belgium","7",""
"Less than 5 years","2003W41","Number","Total","Belgium","7",""
